kanji,kana,prefecture,level,description,hoge,fuga,hint
支笏湖,しこつこ,北海道,2,カルデラ湖。不凍湖。,2017-02-02 14:44:53.289934,2017-02-02 15:17:32.608462,1
鬼首,おにこうべ,宮城県,2,間欠温泉の地。,2017-02-02 14:44:53.950385,2017-02-02 22:45:14.055975,3
積丹半島,しゃこたんはんとう,北海道,2,海食崖が発達。,2017-02-02 14:44:53.297862,2017-02-03 00:47:09.903004,1
鵜苫,うとま,北海道,2,日高本線,2017-02-02 14:44:53.338035,2017-02-03 00:47:41.230085,1
礼受,れうけ,北海道,2,留萌（るもい）本線,2017-02-02 14:44:53.446084,2017-02-05 22:53:25.489129,1
音威子府,おといねっぷ,北海道,3,宗谷本線,2017-02-02 14:44:53.386023,2017-02-03 00:48:36.035896,1
雄信内,おのっぷない,北海道,4,宗谷本線,2017-02-02 14:44:53.397471,2017-02-03 00:48:48.05534,1
止別,やむべつ,北海道,2,釧網本線,2017-02-02 14:44:53.440495,2017-02-03 00:49:43.800856,1
筬島,おさしま,北海道,2,宗谷（そうや）本線,2017-02-02 14:44:53.345976,2017-02-03 00:49:56.97017,1
奥入瀬,おいらせ,青森県,2,十和田湖が源の渓流。,2017-02-02 14:44:53.466067,2017-02-03 00:50:14.376176,1
三厩,みんまや,青森県,4,龍飛崎（たっぴざき）がある。,2017-02-02 14:44:53.521791,2017-02-03 00:50:33.837188,1
艫作,へなし,青森県,5,五能線,2017-02-02 14:44:53.684274,2017-02-03 00:51:35.281977,1
猊鼻渓,げいびけい,岩手県,2,絶壁が続く。,2017-02-02 14:44:53.735611,2017-02-03 00:52:11.480101,1
夏油,げとう,岩手県,3,紅葉の美しい温泉。,2017-02-02 14:44:53.754003,2017-02-03 00:52:25.291336,1
滝観洞,ろうかんどう,岩手県,2,内部に大滝がある。,2017-02-02 14:44:53.784682,2017-02-03 00:52:41.230531,1
大更,おおぶけ,岩手県,3,花輪（はなわ）線,2017-02-02 14:44:53.832294,2017-02-03 00:52:55.61565,1
磯鶏,そけい,岩手県,2,山田線,2017-02-02 14:44:53.869428,2017-02-03 00:53:11.119411,1
似内,にたない,岩手県,2,釜石線,2017-02-02 14:44:53.879061,2017-02-03 00:53:28.019195,1
蕪島,かぶしま,青森県,2,ウミネコの繁殖地。,2017-02-02 14:44:53.480358,2017-02-03 03:38:16.702465,1
愛宕橋,あたごばし,宮城県,2,仙台市営南北線,2017-02-02 14:44:53.971894,2017-02-03 03:40:28.461625,1
蟇目,ひきめ,岩手県,3,山田線,2017-02-02 14:44:53.88544,2017-02-03 03:41:25.700253,1
鹿折唐桑,ししおりからくわ,宮城県,3,大船渡線,2017-02-02 14:44:54.027376,2017-02-03 03:41:48.163623,1
野蒜,のびる,宮城県,3,仙石（せんせき）線,2017-02-02 14:44:54.057011,2017-02-03 03:42:10.349074,1
象潟,きさかた,秋田県,4,「奥の細道」最北の地。,2017-02-02 14:44:54.068429,2017-02-03 03:44:21.648117,1
槻木,つきのき,宮城県,2,東北本線,2017-02-02 14:44:54.051251,2017-02-03 08:38:41.991646,1
襟裳岬,えりもみさき,北海道,1,寒流・暖流の合流地点。,2017-02-02 14:44:53.249732,2017-02-05 22:49:40.003871,1
岨谷峡,そやきょう,秋田県,2,新緑と紅葉の地。,2017-02-02 14:44:54.102435,2017-02-03 08:39:08.812401,1
曽波神,そばのかみ,宮城県,1,石巻線,2017-02-02 14:44:54.038643,2017-02-05 22:45:06.699625,1
国縫,くんぬい,北海道,2,函館本線,2017-02-02 14:44:53.415516,2017-02-05 22:51:38.951498,1
札弦,さっつる,北海道,2,釧網（せんもう）本線,2017-02-02 14:44:53.426303,2017-02-05 22:52:08.345576,1
安比,あっぴ,岩手県,2,温泉とスキーの高原。,2017-02-02 14:44:53.72261,2017-02-05 22:56:00.571425,1
上有住,かみありす,岩手県,2,釜石（かみいし）線,2017-02-02 14:44:53.852939,2017-02-05 23:00:40.419353,1
愛子,あやし,宮城県,3,仙山（せんざん）線,2017-02-02 14:44:53.996842,2017-02-05 23:02:12.640312,2
抱返渓谷,だきがえりけいこく,秋田県,3,紅葉の名所。,2017-02-02 14:44:54.107341,2017-02-05 23:05:29.947405,1
金浦,このうら,秋田県,1,羽越本線,2017-02-02 14:44:54.122813,2017-02-02 14:44:54.122813,1
鑓見内,やりみない,秋田県,1,田沢湖（たざわこ）線,2017-02-02 14:44:54.127512,2017-02-02 14:44:54.127512,1
温海,あつみ,山形県,1,温海温泉がある。,2017-02-02 14:44:54.130922,2017-02-02 14:44:54.130922,1
置賜,おいたま,山形県,1,奥羽（おうう）本線,2017-02-02 14:44:54.155711,2017-02-02 14:44:54.155711,1
小波渡,こばと,山形県,1,羽越（うえつ）本線,2017-02-02 14:44:54.162507,2017-02-02 14:44:54.162507,1
日立木,にったき,福島県,1,常磐（じょうばん）線,2017-02-02 14:44:54.241761,2017-02-02 14:44:54.241761,1
牛久,うしく,茨城県,1,ぶどう酒醸造の発祥地。,2017-02-02 14:44:54.267836,2017-02-02 14:44:54.267836,1
偕楽園,かいらくえん,茨城県,1,日本三大名園。,2017-02-02 14:44:54.272068,2017-02-02 14:44:54.272068,1
鬼怒川,きぬがわ,栃木県,1,川沿いに温泉がある。,2017-02-02 14:44:54.306285,2017-02-02 14:44:54.306285,1
鬼押出,おにおしだし,群馬県,1,浅間山の溶岩流から成る。,2017-02-02 14:44:54.347931,2017-02-02 14:44:54.347931,1
祖母島,うばしま,群馬県,1,吾妻（あずま）線,2017-02-02 14:44:54.374532,2017-02-02 14:44:54.374532,1
神農原,かのはら,群馬県,1,上信電鉄,2017-02-02 14:44:54.378843,2017-02-02 14:44:54.378843,1
韮川,にらがわ,群馬県,1,東武伊勢崎（いせさき）線,2017-02-02 14:44:54.387251,2017-02-02 14:44:54.387251,1
蒸ノ湯,ふけのゆ,秋田県,3,子宝の湯が有名。,2017-02-02 14:44:54.111836,2017-02-03 08:39:20.081841,1
及位,のぞき,山形県,5,戊辰戦争の古戦場。,2017-02-02 14:44:54.144971,2017-02-03 08:40:03.837002,1
飯豊山,いいでさん,山形県,3,高山植物の宝庫。,2017-02-02 14:44:54.134657,2017-02-03 08:39:55.659815,1
高擶,たかたま,山形県,2,奥羽本線,2017-02-02 14:44:54.180604,2017-02-05 22:46:07.97972,3
甲子,かし,福島県,2,阿武隈（あぶくま）川上の温泉。,2017-02-02 14:44:54.194333,2017-02-05 22:46:35.47788,1
微温湯,ぬるゆ,福島県,2,眼病に効くという温泉。,2017-02-02 14:44:54.216515,2017-02-05 22:49:22.153253,1
吹浦,ふくら,山形県,2,羽越本線,2017-02-02 14:44:54.184131,2017-02-05 23:06:10.975404,1
梨郷,りんごう,山形県,2,山県鉄道フラワー長井線,2017-02-02 14:44:54.187626,2017-02-05 23:06:21.948361,1
神俣,かんまた,福島県,2,磐越東線,2017-02-02 14:44:54.236947,2017-02-05 23:08:47.967357,1
磐城塙,いわきはなわ,福島県,3,水郡（すいぐん）線,2017-02-02 14:44:54.232206,2017-02-08 07:38:35.158707,4
勿来関,なこそのせき,福島県,4,奥州三関のひとつ。,2017-02-02 14:44:54.208444,2017-02-08 07:38:56.292394,1
木賊,とくさ,福島県,5,西根川沿いの温泉。,2017-02-02 14:44:54.202797,2017-02-08 07:39:10.223408,1
誉田,ほんだ,千葉県,1,外房線,2017-02-02 14:44:54.519475,2017-02-02 14:44:54.519475,1
妙典,みょうでん,千葉県,1,営団東西線,2017-02-02 14:44:54.538585,2017-02-02 14:44:54.538585,1
六実,むつみ,千葉県,1,東武野田線,2017-02-02 14:44:54.550284,2017-02-02 14:44:54.550284,1
飛鳥山,あすかやま,東京都,1,江戸からの桜の名所。,2017-02-02 14:44:54.582196,2017-02-02 14:44:54.582196,1
鵜の木,うのき,東京都,1,東京多摩川（たまがわ）線,2017-02-02 14:44:54.627769,2017-02-02 14:44:54.627769,1
御徒町,おかちまち,東京都,1,山手線,2017-02-02 14:44:54.635408,2017-02-02 14:44:54.635408,1
御岳山,おんたけさん,東京都,1,東急池上線,2017-02-02 14:44:54.658132,2017-02-02 14:44:54.658132,1
粷谷,こうじや,東京都,1,京浜急行空港線,2017-02-02 14:44:54.704883,2017-02-02 14:44:54.704883,1
日暮里,にっぽり,東京都,1,山手線,2017-02-02 14:44:54.722329,2017-02-02 14:44:54.722329,1
狭間,はざま,東京都,1,京王高尾（たかお）線,2017-02-02 14:44:54.753791,2017-02-02 14:44:54.753791,1
瑞江,みずえ,東京都,1,都営新宿線,2017-02-02 14:44:54.787601,2017-02-02 14:44:54.787601,1
糸魚川,いといがわ,新潟県,1,翡翠（ヒスイ）の産地。,2017-02-02 14:44:54.921715,2017-02-02 14:44:54.921715,1
黒薙,くろなぎ,富山県,1,黒部峡谷鉄道線,2017-02-02 14:44:55.092871,2017-02-02 14:44:55.092871,1
蚊爪,かがつめ,石川県,1,北陸鉄道浅野川線,2017-02-02 14:44:55.1864,2017-02-02 14:44:55.1864,1
不忍池,しのばずのいけ,東京都,5,江戸以来の行楽地。,2017-02-02 14:44:54.594297,2017-02-05 23:24:23.357772,1
日原,にっぱら,東京都,3,鍾乳洞がある。,2017-02-02 14:44:54.614077,2017-02-05 23:24:40.721631,3
上石神井,かみしゃくじい,東京都,5,西武新宿線,2017-02-02 14:44:54.674821,2017-02-05 23:25:30.671689,1
九品仏,くほんぶつ,東京都,4,東急大井町線,2017-02-02 14:44:54.692846,2017-02-05 23:25:58.126604,2
馬喰町,ばくろちょう,東京都,3,総武本線,2017-02-02 14:44:54.735039,2017-02-05 23:26:15.445358,1
保谷,ほうや,東京都,3,西武池袋線,2017-02-02 14:44:54.769565,2017-02-05 23:26:29.155658,1
茗荷谷,みょうがだに,東京都,2,営団丸ノ内線,2017-02-02 14:44:54.806872,2017-02-05 23:40:54.811208,1
追浜,おっぱま,神奈川県,3,旧海軍航空隊跡地。,2017-02-02 14:44:54.82668,2017-02-05 23:41:09.260773,3
強羅,ごうら,神奈川県,2,箱根の温泉。,2017-02-02 14:44:54.832455,2017-02-05 23:41:17.034827,1
入生田,いりうだ,神奈川県,3,箱根登山鉄道,2017-02-02 14:44:54.842791,2017-02-05 23:41:26.050315,3
鵠沼,くげぬま,神奈川県,4,江ノ島電鉄線,2017-02-02 14:44:54.846809,2017-02-05 23:41:33.822147,1
弘明寺,ぐみょうじ,神奈川県,3,京浜急行本線,2017-02-02 14:44:54.851054,2017-02-05 23:41:42.223065,1
国府津,こうづ,神奈川県,4,東海道本線,2017-02-02 14:44:54.866127,2017-02-05 23:41:53.56374,1
尻手,しって,神奈川県,3,南武線,2017-02-02 14:44:54.873123,2017-02-05 23:42:06.289377,2
新羽,にっぱ,神奈川県,3,横浜市営地下鉄線,2017-02-02 14:44:54.888871,2017-02-05 23:42:38.340215,1
原当麻,はらたいま,神奈川県,3,相模（さがみ）線,2017-02-02 14:44:54.900574,2017-02-05 23:42:52.933785,3
逸見,へみ,神奈川県,3,京浜急行本線,2017-02-02 14:44:54.908883,2017-02-05 23:43:05.149756,1
真鶴,まなづる,神奈川県,3,東海道本線,2017-02-02 14:44:54.915696,2017-02-05 23:43:13.03781,1
小千谷,おぢや,新潟県,3,信濃川沿いの旧宿場町。,2017-02-02 14:44:54.943611,2017-02-05 23:43:22.624141,1
瓢湖,ひょうこ,新潟県,2,白鳥が飛来する。,2017-02-02 14:44:54.951769,2017-02-05 23:43:30.709316,1
粟生津,あおうづ,新潟県,2,越後線,2017-02-02 14:44:54.957382,2017-02-05 23:48:26.081478,1
五十島,いがしま,新潟県,2,磐越西（ばんえつさい）線,2017-02-02 14:44:54.966941,2017-02-05 23:49:08.83385,1
鹿瀬,かのせ,新潟県,2,磐越西線,2017-02-02 14:44:54.978128,2017-02-05 23:49:17.72079,1
頸城大野,くびきおおの,新潟県,5,大糸線,2017-02-02 14:44:54.990869,2017-02-05 23:49:26.031385,1
馬下,まおろし,新潟県,4,磐越西線,2017-02-02 14:44:55.002245,2017-02-05 23:49:38.049712,1
矢作,やはぎ,新潟県,1,弥彦（やひこ）線,2017-02-02 14:44:55.027553,2017-02-05 23:49:50.669812,2
芦峅寺,あしくらじ,富山県,5,立山（たてやま）信仰登山の基地。,2017-02-02 14:44:55.034175,2017-02-05 23:50:00.804952,3
祖母谷,ばばだに,富山県,4,黒部（くろべ）川支流の温泉。,2017-02-02 14:44:55.039411,2017-02-05 23:50:08.456741,1
二上山,ふたかみやま,富山県,2,紅葉の名所。,2017-02-02 14:44:55.043337,2017-02-05 23:50:15.175525,1
雨晴,あまはらし,富山県,3,氷見（ひみ）線,2017-02-02 14:44:55.049621,2017-02-05 23:53:14.683261,1
石動,いするぎ,富山県,4,北陸本線,2017-02-02 14:44:55.066352,2017-02-05 23:54:10.921006,2
荻生,おぎゅう,富山県,3,富山地方鉄道本線,2017-02-02 14:44:55.084627,2017-02-05 23:54:27.82287,1
大川寺,だいせんじ,富山県,2,富山地方鉄道上滝線,2017-02-02 14:44:55.100157,2017-02-05 23:54:51.668747,3
楡原,にれはら,富山県,3,高山本線,2017-02-02 14:44:55.110098,2017-02-05 23:55:02.465086,1
禄剛崎,ろっこうざき,石川県,3,能登半島の岬。,2017-02-02 14:44:55.130484,2017-02-06 22:56:23.258259,1
舳倉島,へくらじま,石川県,2,日本海の孤島。,2017-02-02 14:44:55.140157,2017-02-06 22:56:40.988378,1
倶利伽羅峠,くりからとうげ,石川県,2,古戦場。,2017-02-02 14:44:55.150322,2017-02-06 22:56:53.995617,1
動橋,いぶりはし,石川県,4,北陸本線,2017-02-02 14:44:55.163764,2017-02-06 22:58:10.069468,1
宇出津,うしつ,石川県,4,のと鉄道能登（のと）線,2017-02-02 14:44:55.175578,2017-02-06 22:58:30.771136,1
芦原,あわら,福井県,3,北陸温泉郷のひとつ。,2017-02-02 14:44:55.19531,2017-02-06 22:58:57.203619,2
杉津海岸,すいづかいがん,福井県,3,海水浴場。,2017-02-02 14:44:55.202886,2017-02-06 22:59:16.04535,2
足羽,あすわ,福井県,4,越美北線,2017-02-02 14:44:55.215853,2017-02-06 22:59:35.615514,3
勝原,かどはら,福井県,3,越美北線,2017-02-02 14:44:55.220317,2017-02-06 22:59:53.637298,2
小和清水,こわしょうず,福井県,4,越美北線,2017-02-02 14:44:55.233368,2017-02-06 23:00:10.287263,4
志比堺,しいざかい,福井県,3,京福（けいふく）越前本線,2017-02-02 14:44:55.250731,2017-02-06 23:00:40.068217,2
轟,どめき,福井県,5,京福越前本線,2017-02-02 14:44:55.261573,2017-02-06 23:03:12.679717,1
計石,はかりいし,福井県,3,越美北線,2017-02-02 14:44:55.268878,2017-02-06 23:03:50.975394,1
花堂,はなんどう,福井県,2,福井鉄道福武線,2017-02-02 14:44:55.273422,2017-02-06 23:05:02.316668,3
石和,いさわ,山梨県,3,ブドウ畑にわく温泉。,2017-02-02 14:44:55.279205,2017-02-08 06:28:34.139591,3
忍野八海,おしのはっかい,山梨県,2,伏流水がわく。,2017-02-02 14:44:55.2836,2017-02-08 06:28:43.86878,1
下呂,げろ,岐阜県,1,日本三名泉。,2017-02-02 14:44:55.546214,2017-02-02 14:44:55.546214,1
金町,こがねまち,岐阜県,1,名鉄岐阜市内線,2017-02-02 14:44:55.620133,2017-02-02 14:44:55.620133,1
母野,はんの,岐阜県,1,長良川鉄道,2017-02-02 14:44:55.685141,2017-02-02 14:44:55.685141,1
水鳥,みどり,岐阜県,1,樽見鉄道,2017-02-02 14:44:55.691061,2017-02-02 14:44:55.691061,1
石廊崎,いしろうざき,静岡県,1,伊豆半島最南端。,2017-02-02 14:44:55.695303,2017-02-02 14:44:55.695303,1
寸又峡,すまたきょう,静岡県,1,紅葉の名所。,2017-02-02 14:44:55.70968,2017-02-02 14:44:55.70968,1
丸子,まりこ,静岡県,1,東海道の旧宿場町。,2017-02-02 14:44:55.715459,2017-02-02 14:44:55.715459,1
出馬,いずんま,静岡県,1,飯田線,2017-02-02 14:44:55.727236,2017-02-02 14:44:55.727236,1
来宮,きのみや,静岡県,1,伊東線,2017-02-02 14:44:55.772855,2017-02-02 14:44:55.772855,1
草薙,くさなぎ,静岡県,1,東海道本線,2017-02-02 14:44:55.778053,2017-02-02 14:44:55.778053,1
五和,ごか,静岡県,1,大井川鉄道本線,2017-02-02 14:44:55.791415,2017-02-02 14:44:55.791415,1
下土狩,しもとがり,静岡県,1,御殿場（ごてんば）線,2017-02-02 14:44:55.796194,2017-02-02 14:44:55.796194,1
千頭,せんず,静岡県,1,大井川鉄道,2017-02-02 14:44:55.804828,2017-02-02 14:44:55.804828,1
柚木,ゆのき,静岡県,1,身延（みのぶ）線,2017-02-02 14:44:55.815826,2017-02-02 14:44:55.815826,1
新城,しんしろ,愛知県,1,長篠（ながしの）の戦いの古戦場。,2017-02-02 14:44:55.827195,2017-02-02 14:44:55.827195,1
羽豆岬,はずみさき,愛知県,1,知多（ちた）半島先端の岬。,2017-02-02 14:44:55.833808,2017-02-02 14:44:55.833808,1
愛知御津,あいちみと,愛知県,1,東海道本線,2017-02-02 14:44:55.83975,2017-02-02 14:44:55.83975,1
岩刀,いわと,愛知県,1,名鉄名古屋本線,2017-02-02 14:44:55.898595,2017-02-02 14:44:55.898595,1
尾頭橋,おとうばし,愛知県,1,東海道本線,2017-02-02 14:44:55.910207,2017-02-02 14:44:55.910207,1
男川,おとがわ,愛知県,1,名鉄名古屋本線,2017-02-02 14:44:55.915257,2017-02-02 14:44:55.915257,1
内船,うつぶな,山梨県,2,身延（みのぶ）線,2017-02-02 14:44:55.291002,2017-02-08 06:29:36.625822,2
禾生,かせい,山梨県,4,富士急行,2017-02-02 14:44:55.294741,2017-02-08 06:29:47.577424,1
金手,かねんて,山梨県,3,身延線,2017-02-02 14:44:55.298215,2017-02-08 06:30:03.915261,1
四方津,しおつ,山梨県,3,中央本線,2017-02-02 14:44:55.305153,2017-02-08 06:30:15.584313,2
梁川,やながわ,山梨県,3,中央本線,2017-02-02 14:44:55.317811,2017-02-08 06:30:30.88427,1
小谷,おたり,長野県,3,武田の落ち武者が見つけた湯。,2017-02-02 14:44:55.328427,2017-02-08 06:30:49.188762,3
鹿教湯,かけゆ,長野県,3,美ヶ原（うつくしがはら）登山口の温泉。,2017-02-02 14:44:55.346183,2017-02-08 06:31:00.326487,1
蓼科,たてしな,長野県,2,保養地として有名。,2017-02-02 14:44:55.359081,2017-02-08 06:31:14.794538,1
栂池,つがいけ,長野県,2,高山植物が豊富な高原。,2017-02-02 14:44:55.389972,2017-02-08 06:31:24.595347,1
鳥甲山,とりかぶとやま,長野県,2,登山道のある火山。,2017-02-02 14:44:55.406453,2017-02-08 06:31:36.544358,3
安曇沓掛,あずみくつかけ,長野県,3,大糸線,2017-02-02 14:44:55.410445,2017-02-08 06:31:55.029494,1
鶯巣,うぐす,長野県,2,飯田線,2017-02-02 14:44:55.425952,2017-02-08 06:32:06.160362,1
渕東,えんどう,長野県,3,松本電鉄上高地線,2017-02-02 14:44:55.430977,2017-02-08 06:32:15.015803,1
姨捨,おばすて,長野県,2,篠ノ井線,2017-02-02 14:44:55.454171,2017-02-08 06:32:23.345709,1
沢渡,さわんど,長野県,2,飯田線,2017-02-02 14:44:55.460086,2017-02-08 06:32:35.505309,4
滋野,しげの,長野県,2,しなの線,2017-02-02 14:44:55.46802,2017-02-08 06:32:48.823993,1
為栗,してぐり,長野県,2,飯田線,2017-02-02 14:44:55.481649,2017-02-08 06:33:03.986059,1
洗馬,せば,長野県,3,中央本線,2017-02-02 14:44:55.487368,2017-02-08 06:33:12.097233,1
贄川,にえかわ,長野県,2,中央本線,2017-02-02 14:44:55.495936,2017-02-08 06:34:15.280018,1
温田,ぬくた,長野県,2,飯田線,2017-02-02 14:44:55.505479,2017-02-08 06:34:29.488442,1
一日市場,ひといちば,長野県,3,大糸線,2017-02-02 14:44:55.517922,2017-02-08 06:34:39.557486,1
簗場,やなば,長野県,3,大糸線,2017-02-02 14:44:55.538733,2017-02-08 06:35:48.604113,1
不破関,ふわのせき,岐阜県,3,古代三関。,2017-02-02 14:44:55.558918,2017-02-08 06:36:12.656025,1
顔戸,ごうど,岐阜県,3,名鉄広見線,2017-02-02 14:44:55.587477,2017-02-08 06:37:17.991174,1
御母衣,みぼろ,岐阜県,4,岩石を積んだダムがある。,2017-02-02 14:44:55.564342,2017-02-08 06:36:46.31411,1
苧ケ瀬,おがせ,岐阜県,3,名鉄各務原（かがみはら）線,2017-02-02 14:44:55.574986,2017-02-08 06:37:07.137994,1
神海,こうみ,岐阜県,3,樽見（たるみ）鉄道,2017-02-02 14:44:55.598081,2017-02-08 06:37:40.466128,1
古井,こび,岐阜県,3,高山本線,2017-02-02 14:44:55.633919,2017-02-08 06:38:11.101873,2
近ノ島,ごんのしま,岐阜県,2,名鉄揖斐（いび）線,2017-02-02 14:44:55.662007,2017-02-09 23:27:15.26245,1
川津七滝,かわづななだる,静岡県,2,川津川の七つの滝。,2017-02-02 14:44:55.699716,2017-02-08 09:51:00.04775,1
賤機山,しずはたやま,静岡県,3,南麓（なんろく）に古墳がある。,2017-02-02 14:44:55.703619,2017-02-08 09:51:12.104003,1
網代,あじろ,静岡県,3,伊東線,2017-02-02 14:44:55.719648,2017-02-08 09:51:34.324155,1
稲梓,いなずさ,静岡県,2,伊豆急行線,2017-02-02 14:44:55.73513,2017-02-08 09:51:47.296209,1
大嵐,おおぞれ,静岡県,4,飯田線,2017-02-02 14:44:55.752035,2017-02-08 09:51:57.77389,1
興津,おきつ,静岡県,2,東海道本線,2017-02-02 14:44:55.755821,2017-02-08 09:52:06.983952,1
函南,かんなみ,静岡県,2,東海道本線,2017-02-02 14:44:55.759684,2017-02-08 09:52:29.036869,1
須津,すど,静岡県,3,岳南（がくなん）鉄道,2017-02-02 14:44:55.801015,2017-02-08 09:52:44.365509,1
香嵐渓,こうらんけい,愛知県,2,紅葉の名所。,2017-02-02 14:44:55.823035,2017-02-08 09:53:03.035534,1
常滑,とこなめ,愛知県,3,焼き物で知られる。,2017-02-02 14:44:55.830554,2017-02-08 09:53:20.822909,1
味鋺,あじま,愛知県,3,名鉄小牧（こまき）線,2017-02-02 14:44:55.886178,2017-02-08 09:53:41.2287,1
上挙母,うわごろも,愛知県,4,名鉄三河線,2017-02-02 14:44:55.904682,2017-02-08 09:54:24.34476,1
味美,あじよし,愛知県,3,名鉄小牧線,2017-02-02 14:44:55.893076,2017-02-08 09:54:06.895045,3
烏森,かすもり,愛知県,2,近鉄名古屋線,2017-02-02 14:44:55.919739,2017-02-08 09:54:41.122378,1
木尾,こんの,岐阜県,4,長良川（ながらがわ）鉄道,2017-02-02 14:44:55.647897,2017-02-09 23:27:04.068332,1
尻毛,しっけ,岐阜県,3,名鉄揖斐線,2017-02-02 14:44:55.670494,2017-02-09 23:27:31.444417,1
鍋原,なべら,岐阜県,3,樽見鉄道,2017-02-02 14:44:55.680222,2017-02-09 23:29:43.644579,1
水窪,みさくぼ,静岡県,2,飯田線,2017-02-02 14:44:55.81151,2017-02-14 13:10:40.849767,1
猿投,さなげ,愛知県,1,名鉄三河線,2017-02-02 14:44:55.932357,2017-02-02 14:44:55.932357,1
勝幡,しょばた,愛知県,1,名鉄津島線,2017-02-02 14:44:55.951305,2017-02-02 14:44:55.951305,1
布土,ふっと,愛知県,1,名鉄河和線,2017-02-02 14:44:56.003774,2017-02-02 14:44:56.003774,1
安乗崎,あのりざき,三重県,1,荒波と断崖。,2017-02-02 14:44:56.016928,2017-02-02 14:44:56.016928,1
奥一志峡,おくいちしきょう,三重県,1,自然林が美しい。,2017-02-02 14:44:56.020729,2017-02-02 14:44:56.020729,1
蓮峡,はすきょう,三重県,1,シャクナゲの群落地。,2017-02-02 14:44:56.03227,2017-02-02 14:44:56.03227,1
新鹿,あたしか,三重県,1,紀勢（きせい）本線,2017-02-02 14:44:56.067307,2017-02-02 14:44:56.067307,1
内部,うつべ,三重県,1,近鉄内部線,2017-02-02 14:44:56.094289,2017-02-02 14:44:56.094289,1
